400820,sub_400820,Unpredicted,"""Function to Push and Jump to Addresses"""
400970,deregister_tm_clones,Unpredicted,"""Compare and Jump Function"""
4009F0,__do_global_dtors_aux,Unpredicted,"""Check and call function"""
400A10,frame_dummy,Unpredicted,"""Memory allocation function"""
400A36,init_string_with_size,Unpredicted,"""Memory Allocation Function"" or ""Dynamic Memory Allocation"""
400A74,init_string,Unpredicted,Function with Stack Allocation
400A94,find,P_get_int,"""Stack Frame Comparison"""
400B0B,write_buffer,P_parser_parse_opt,"""Stack allocation and file output"""
400B5E,delete_string,Unpredicted,Function: Free Memory.
400B7C,addr,Unpredicted,"""Addition function"""
400B96,at,P_hostrange_cmp,"""Function to Compare Two Values"""
400BCA,catchar,P_fsserial,Function Name: dynamic_array_resize
400C4C,overwrite_string,Unpredicted,Free Memory Function
400C9C,catbuf,P_print,"""Function to Reallocate and Copy Memory"""
400D5C,cattext,Unpredicted,Function prologue.
400D90,catstr,Unpredicted,"""Function with parameter and subroutine call"""
400DC3,skip_white_and_stars,P_skip_edit_for_move,"""Function for checking input validity"""
400E5F,skip_past_newline_1,P_skip_past_newline_1,"""Function with Local Variables"""
400EC0,.strlen,Unpredicted,Function to Print Error Message and Exit
400EF3,check_range,Unpredicted,"""Check and Call Function"""
400F2E,icheck_range,Unpredicted,Check for and call subroutines based on memory values.
400F69,exec,P_list_is_all,"""Function with stack and call"""
400FA9,call,Unpredicted,"""Function with local variable initialization"""
400FE9,remchar,Unpredicted,"""Stack Frame Setup and Variable Modification"""
401025,strip_trailing_newlines,P_do_length,"""Function Prologue"""
4010D3,push_number,Unpredicted,"""Memory Manipulation Function"""
40112E,push_text,Unpredicted,"""Function with stack manipulation"""
4011A0,.getenv,Unpredicted,"""String parsing"" or ""Input validation"""
40135F,print_stack_level,Unpredicted,Function Initialization.
4013F3,paramstuff,Unpredicted,Function Prologue
40146B,translatecomments,Unpredicted,"""Function Prologue"" or ""Stack Setup"""
4015B2,outputdots,Unpredicted,Function Prologue
401747,courierize,Unpredicted,"""Function Prologue"""
401B32,bulletize,Unpredicted,Function prologue.
401D7F,do_fancy_stuff,P_do,Function Prologue.
401F4C,iscommand,Unpredicted,Function for checking input
402022,copy_past_newline,P_read_past_newline_1,"""Function with Local Variables"""
4020F7,icopy_past_newline,Unpredicted,Function prologue.
40215F,kill_bogus_lines,P_kill,Function prologue or stack setup.
4023ED,indent,P_indent,Function Entry Setup
4025A6,get_stuff_in_command,Unpredicted,"""Function prologue"" or ""Function setup"""
402649,swap,Unpredicted,"""Memory Copy and Address Update"""
4026C7,rsync_roll,P_re_compile_class,"""Stack Manipulation and Function Calls"""
402728,drop,Unpredicted,Function prologue/entry.
40275D,idrop,Unpredicted,Stack cleanup function.
402792,icatstr,Unpredicted,Function to Modify Memory Address.
4027F7,skip_past_newline,Unpredicted,"""Function initialization"" or ""Stack frame setup"""
402832,internalmode,Unpredicted,"""Copy and Modify Stack Variable"""
402877,maybecatstr,Unpredicted,"""Function for Comparing and Manipulating Memory"""
4028E8,nextword,P_nextword,Function Prologue
402B00,.strncpy,Unpredicted,Stack Frame Initialization and Comparison
402B7A,perform,P_perform,"""Function setup"""
402C83,newentry,P_make_variable_completions,"""Memory Allocation Function"""
402CF3,add_to_definition,P_line_copy,Memory reallocation function.
402D87,add_intrinsic,Unpredicted,Function Initialization
402DCE,add_var,Unpredicted,Function Setup.
402E29,compile,P_parse_xml_options,"""Function Prologue"""
403057,bang,Unpredicted,"""Move and Update Pointer Function"""
4030A7,atsign,Unpredicted,"""Copy Pointer and Increment"""
4030D7,hello,Unpredicted,"""Print and Increment Counter"""
4030FA,stdout_,Unpredicted,"""Memory Allocation and Initialization"""
40313D,stderr_,Unpredicted,"""Memory Allocation and Initialization"""
403180,.memrchr,Unpredicted,"""Function with Output Handling"""
40324A,read_in,Unpredicted,File Input Function.
4032FF,usage,Unpredicted,"""Write to stderr and Exit"" or ""Log and Exit"""
40332B,chew_exit,Unpredicted,"""Exit function with stack setup."""
401F70,.free,Unpredicted,"""Jump to Memory Location"""
4026F0,deregister_tm_clones,Unpredicted,"""Check and Jump Function"""
402770,__do_global_dtors_aux,Unpredicted,Set flag and call sub.
402790,frame_dummy,Unpredicted,"""Memory Operation and Function Call"""
4027B6,severity,Unpredicted,Function Setup or Comparison Check
40280F,vdiag,P_is_non_files,Function with error logging and stack preparation.
402A42,diag,Unpredicted,Set up function frame.
402B11,debugprt,Unpredicted,Function Prologue.
402BDE,emalloc,Unpredicted,Allocate Memory and Exit Function
402C2D,ecalloc,Unpredicted,Function Name: allocate_mem
402C7F,erealloc,Unpredicted,Function to allocate and initialize memory.
402CD9,estrdup,Unpredicted,Function for String Copy and Length Calculation.
