WARNING | 2021-12-09 00:44:09,698 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_getc_function
WARNING | 2021-12-09 00:44:09,698 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-09 00:44:09,699 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_msgset_formats
WARNING | 2021-12-09 00:44:09,699 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-09 00:44:09,699 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_pre_input_hook
WARNING | 2021-12-09 00:44:09,699 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-09 00:44:09,699 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: history_length
WARNING | 2021-12-09 00:44:09,699 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-09 00:44:09,699 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-09 00:44:09,699 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-09 00:44:09,699 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: _mu_imap_status_name_table
WARNING | 2021-12-09 00:44:09,702 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
