WARNING | 2021-12-09 00:39:08,663 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_getc_function
WARNING | 2021-12-09 00:39:08,663 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_over
WARNING | 2021-12-09 00:39:08,663 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_completion_append_character
WARNING | 2021-12-09 00:39:08,663 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_tls_module
WARNING | 2021-12-09 00:39:08,663 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-09 00:39:08,663 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_line_buffer
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_startup_hook
WARNING | 2021-12-09 00:39:08,664 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-09 00:39:08,665 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-09 00:39:08,665 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-09 00:39:08,665 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-09 00:39:08,665 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-09 00:39:08,665 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-09 00:39:08,672 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-09 01:34:14,395 | root     | 
ERROR   | 2021-12-09 01:34:15,893 | root     | got an error while analyzing yyparse
Killed
