WARNING | 2021-12-09 00:33:26,843 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_ldap_module
WARNING | 2021-12-09 00:33:26,843 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_tls_module
WARNING | 2021-12-09 00:33:26,843 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-09 00:33:26,843 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_virtual_module
WARNING | 2021-12-09 00:33:26,843 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_log_facility
WARNING | 2021-12-09 00:33:26,843 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-09 00:33:26,843 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_alloc_die_hook
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_system_module
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_gsasl_module
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_generic_module
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_sql_module
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_pam_module
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pam_service
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_log_syslog
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_radius_module
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-09 00:33:26,844 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_log_tag
WARNING | 2021-12-09 00:33:26,852 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-09 00:33:49,922 | root     | list index out of range
ERROR   | 2021-12-09 00:33:49,922 | root     | got an error while analyzing sigpipe
Killed
