WARNING | 2021-12-08 20:12:44,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_watchdog_timer_rs
WARNING | 2021-12-08 20:12:44,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_watchdog_timer_rq
WARNING | 2021-12-08 20:12:44,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rs
WARNING | 2021-12-08 20:12:44,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_channel_info_rs
WARNING | 2021-12-08 20:12:44,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_channel_info_rq
WARNING | 2021-12-08 20:12:44,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_suspend_bmc_arps_rs
WARNING | 2021-12-08 20:12:44,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_suspend_bmc_arps_rq
WARNING | 2021-12-08 20:12:44,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_reset_watchdog_timer_rq
WARNING | 2021-12-08 20:12:44,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_reset_watchdog_timer_rs
WARNING | 2021-12-08 20:12:44,366 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_watchdog_timer_rq
WARNING | 2021-12-08 20:12:44,366 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_watchdog_timer_rs
WARNING | 2021-12-08 20:12:44,366 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rq
WARNING | 2021-12-08 20:12:44,368 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
