WARNING | 2021-12-09 01:30:00,786 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-09 01:30:00,786 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-09 01:30:00,786 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-09 01:30:00,786 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-09 01:30:00,786 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-09 01:30:00,786 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-09 01:30:00,786 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-09 01:30:00,787 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-09 01:30:00,788 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-09 01:30:00,788 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-09 01:30:00,788 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-09 01:30:00,795 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-09 01:48:59,679 | root     | b'out of memory'
ERROR   | 2021-12-09 01:48:59,688 | root     | got an error while analyzing print_string
ERROR   | 2021-12-09 01:50:07,484 | root     | b'out of memory'
ERROR   | 2021-12-09 01:50:07,485 | root     | got an error while analyzing addrlist_destroy
ERROR   | 2021-12-09 01:50:08,255 | root     | b'out of memory'
ERROR   | 2021-12-09 01:50:08,261 | root     | got an error while analyzing mh_fvm_run
ERROR   | 2021-12-09 01:50:09,376 | root     | b'out of memory'
ERROR   | 2021-12-09 01:50:09,379 | root     | got an error while analyzing msg_uid_1
ERROR   | 2021-12-09 01:52:15,880 | root     | b'out of memory'
ERROR   | 2021-12-09 01:52:15,888 | root     | got an error while analyzing mh_format_str
ERROR   | 2021-12-09 01:52:23,421 | root     | b'out of memory'
ERROR   | 2021-12-09 01:52:23,422 | root     | got an error while analyzing builtin_msg
ERROR   | 2021-12-09 01:52:24,088 | root     | b'out of memory'
ERROR   | 2021-12-09 01:52:24,095 | root     | got an error while analyzing builtin_cur
Killed
