WARNING | 2021-12-09 00:38:16,071 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_ldap_module
WARNING | 2021-12-09 00:38:16,071 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_tls_module
WARNING | 2021-12-09 00:38:16,071 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_log_print_severity
WARNING | 2021-12-09 00:38:16,071 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_virtual_module
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_system_module
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_gsasl_module
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_generic_module
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_sql_module
WARNING | 2021-12-09 00:38:16,072 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_pam_module
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_log_syslog
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_radius_module
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_cli_capa_sieve
WARNING | 2021-12-09 00:38:16,073 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sieve_debug_handle
WARNING | 2021-12-09 00:38:16,078 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
