WARNING | 2021-12-08 20:11:42,504 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rs
WARNING | 2021-12-08 20:11:42,504 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_guid_rs
WARNING | 2021-12-08 20:11:42,504 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_channel_info_rs
WARNING | 2021-12-08 20:11:42,505 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_bmc_url_first_set_rs
WARNING | 2021-12-08 20:11:42,505 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_system_name_first_set_rs
WARNING | 2021-12-08 20:11:42,505 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_system_firmware_version_rs
WARNING | 2021-12-08 20:11:42,505 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_present_os_version_number_rs
WARNING | 2021-12-08 20:11:42,505 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_bmc_url_rs
WARNING | 2021-12-08 20:11:42,505 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_operating_system_name_rs
WARNING | 2021-12-08 20:11:42,505 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_primary_operating_system_name_rs
WARNING | 2021-12-08 20:11:42,505 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_base_os_hypervisor_url_rs
WARNING | 2021-12-08 20:11:42,505 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_primary_operating_system_name_first_set_rs
WARNING | 2021-12-08 20:11:42,506 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_present_os_version_number_first_set_rs
WARNING | 2021-12-08 20:11:42,506 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_base_os_hypervisor_url_first_set_rs
WARNING | 2021-12-08 20:11:42,506 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_system_firmware_version_first_set_rs
WARNING | 2021-12-08 20:11:42,506 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_operating_system_name_first_set_rs
WARNING | 2021-12-08 20:11:42,506 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_guid_rs
WARNING | 2021-12-08 20:11:42,506 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_info_parameters_system_name_rs
WARNING | 2021-12-08 20:11:42,512 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
Killed
