PredCode,package,Original,Predicted,Thrown
[-],4213131@43.exe@04,4213131,xstrtol,['BLANK']
[-],4215948@43.exe@04,4215948,clear*ungetc*buffer*preserving*position,['BLANK']
[-],4216313@43.exe@04,4216313,c*isalpha,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4216423@43.exe@04,4216423,c*iscntrl,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4216461@43.exe@04,4216461,c*isdigit,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4216493@43.exe@04,4216493,c*isgraph,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4216525@43.exe@04,4216525,c*islower,['BLANK'; 'BLANK'; 'tag'; 'BLANK']
[-],4216557@43.exe@04,4216557,c*isprint,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4216651@43.exe@04,4216651,c*isspace,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4216690@43.exe@04,4216690,c*isupper,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4216766@43.exe@04,4216766,c*tolower,['BLANK'; 'str'; 'BLANK'; 'BLANK']
[-],4216797@43.exe@04,4216797,c*toupper,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4203080@43.exe@04,4203080,set*char*quoting,['BLANK'; 'BLANK'; 'BLANK']
[-],4203267@43.exe@04,4203267,set*custom*quoting,['BLANK'; 'BLANK'; 'BLANK']
[-],4212908@43.exe@04,4212908,bkm*scale,['BLANK'; 'BLANK']
[-],4202937@43.exe@04,4202937,clone*quoting*options,['BLANK']
[-],4202469@43.exe@04,4202469,close*stdout,['BLANK'; 'BLANK']
[-],4216261@43.exe@04,4216261,c*isalnum,['BLANK'; 'BLANK']
[-],4216589@43.exe@04,4216589,c*ispunct,['BLANK'; 'line']
[-],4214057@43.exe@04,4214057,c*strcasecmp,['BLANK'; 'BLANK']
[-],4207359@43.exe@04,4207359,quotearg*alloc*mem,['BLANK']
[-],4207147@43.exe@04,4207147,quotearg*buffer,['BLANK'; 'BLANK']
[-],4212259@43.exe@04,4212259,x2nrealloc,['BLANK'; 'BLANK'; 'BLANK']
[-],4212513@43.exe@04,4212513,xrealloc,['BLANK'; 'BLANK'; 'BLANK']
[-],4216075@43.exe@04,4216075,rpl*fseeko,['BLANK'; 'list']
[-],4202705@43.exe@04,4202705,set*program*name,['BLANK']
[-],4209937@43.exe@04,4209937,version*etc*arn,['BLANK']
[-],4211439@43.exe@04,4211439,hash*do,['BLANK'; 'BLANK']
[-],4214177@43.exe@04,4214177,close*stream,['BLANK'; 'BLANK']
[-],4200300@43.exe@04,4200300,emit*ancillary*info,['BLANK']
[-],4203510@43.exe@04,4203510,gettext*quote,['BLANK'; 'BLANK']
[-],4215558@43.exe@04,4215558,locale*charset,['BLANK'; 'BLANK']
[-],4215764@43.exe@04,4215764,rpl*fclose,['BLANK'; 'BLANK']
[-],4207831@43.exe@04,4207831,quotearg*n*options,['BLANK']
